"","trend_type","label","years","CI_high","CI_low","LPI_final","sim"
"1","Convex Decrease","20%",1950,1,1,1,"median"
"2","Convex Decrease","20%",1951,0.910981645165742,0.812429741818525,0.857554501864087,"median"
"3","Convex Decrease","20%",1952,0.834321373242771,0.722150901996844,0.773555475319409,"median"
"4","Convex Decrease","20%",1953,0.796242599729709,0.675843749388724,0.72783650884765,"median"
"5","Convex Decrease","20%",1954,0.781124488703622,0.662007999016443,0.712756263283888,"median"
"6","Convex Decrease","20%",1955,0.77923802564273,0.657615365437077,0.711446381316679,"median"
"7","Convex Decrease","20%",1956,0.778816666285975,0.652523575354105,0.706081142560992,"median"
"8","Convex Decrease","20%",1957,0.775116073866509,0.652045899584537,0.706173262463115,"median"
"9","Convex Decrease","20%",1958,0.774512306666209,0.647887276423931,0.704954841323187,"median"
"10","Convex Decrease","20%",1959,0.778730398491484,0.645607696645681,0.703782800641094,"median"
"11","Convex Decrease","20%",1960,0.784153878088744,0.646009611090619,0.704665689948354,"median"
"12","Convex Decrease","20%",1961,0.78255877770301,0.643747422158329,0.704706769826215,"median"
"13","Convex Decrease","20%",1962,0.777509766838527,0.6377608379508,0.698916314217345,"median"
"14","Convex Decrease","20%",1963,0.769151145126092,0.630239915525133,0.690321621681481,"median"
"15","Convex Decrease","20%",1964,0.758644627028048,0.613643469614028,0.679733678908521,"median"
"16","Convex Decrease","20%",1965,0.744845293360234,0.600470325030231,0.665059053229049,"median"
"17","Convex Decrease","20%",1966,0.731792319393544,0.588131640408874,0.651437055422145,"median"
"18","Convex Decrease","20%",1967,0.725475523075633,0.58030178464162,0.641929156639097,"median"
"19","Convex Decrease","20%",1968,0.716825777882043,0.57536532374544,0.638206962269891,"median"
"20","Convex Decrease","20%",1969,0.715891526975601,0.571051850710765,0.635624942489287,"median"
"21","Convex Decrease","20%",1970,0.706308484016694,0.561642938766507,0.629849964739253,"median"
"22","Convex Decrease","20%",1971,0.696039927598785,0.554581450178292,0.621494888879325,"median"
"23","Convex Decrease","20%",1972,0.688067533673045,0.546820829087248,0.614372617060308,"median"
"24","Convex Decrease","20%",1973,0.686411552065564,0.541862543085667,0.609899468884415,"median"
"25","Convex Decrease","20%",1974,0.683548465874928,0.539263383459313,0.604271675206992,"median"
"26","Convex Decrease","20%",1975,0.680961104954635,0.534877015240313,0.600796426978436,"median"
"27","Convex Decrease","20%",1976,0.675670112515061,0.527404155601226,0.594986997600086,"median"
"28","Convex Decrease","20%",1977,0.669856796951061,0.52158626217202,0.588836600253272,"median"
"29","Convex Decrease","20%",1978,0.663918430503018,0.516982060207135,0.584736130689775,"median"
"30","Convex Decrease","20%",1979,0.659440170922047,0.51484818965732,0.581135026582004,"median"
"31","Convex Decrease","20%",1980,0.654029867231317,0.510050703567527,0.575821259301357,"median"
"32","Convex Decrease","20%",1981,0.647736631799579,0.501040628140575,0.567714285975998,"median"
"33","Convex Decrease","20%",1982,0.635198097691281,0.493445789941761,0.556619861148603,"median"
"34","Convex Decrease","20%",1983,0.625388562742729,0.484354234999441,0.547099789540348,"median"
"35","Convex Decrease","20%",1984,0.62290457370605,0.480973834649928,0.548738277269037,"median"
"36","Convex Decrease","20%",1985,0.624243897102094,0.481876508641957,0.546533956881636,"median"
